model,bin,freq,voltage_target,voltage_limit,chip_temp,board_temp,ok_core_pct,min_power
m50.vh70,bin11,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin12,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin13,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin14,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin15,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin16,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin17,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin18,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin19,36.7,1400,70,97,0000,29.8,unknown
m50.vh70,bin20,36.7,1400,70,97,0000,29.8,unknown
m50.vh80,bin1v1_A,37.4,1200,74,97,0000,28.8,unknown
m50.vh80,bin1v1_C,37.4,1200,72,97,0000,28.8,unknown
m50.vh80,bin1v1_E,37.4,1200,70,97,0000,28.8,unknown
m50.vh80,bin1v1_G,37.4,1200,70,97,0000,28.8,unknown
m50.vh80,bin2v1_A,37.4,1210,74,97,0000,28.8,unknown
m50.vh80,bin2v1_C,37.4,1210,72,97,0000,28.8,unknown
m50.vh80,bin2v1_E,37.4,1210,70,97,0000,28.8,unknown
m50.vh80,bin2v1_G,38.7,1210,70,97,0000,28.8,unknown
m50.vh80,bin2v1_H,38.7,1210,70,97,0000,29.8,unknown
m50.vh80,bin3v1_A,37.4,1220,74,97,0000,28.8,unknown
m50.vh80,bin3v1_C,37.4,1220,72,97,0000,28.8,unknown
m50.vh80,bin3v1_E,37.4,1220,70,97,0000,28.8,unknown
m50.vh80,bin3v1_F,38.7,1220,70,97,0000,29.8,unknown
m50.vh80,bin4v1_A,37.4,1230,74,97,0000,28.8,unknown
m50.vh80,bin4v1_C,37.4,1230,72,97,0000,28.8,unknown
m50.vh80,bin4v1_E,37.4,1230,70,97,0000,29.8,unknown
m50.vh80,bin4v1_F,38.7,1230,70,97,0000,29.8,unknown
m50.vh80,bin5v1_A,37.4,1240,74,97,0000,28.8,unknown
m50.vh80,bin5v1_C,37.4,1240,72,97,0000,28.8,unknown
m50.vh80,bin5v1_E,37.4,1240,70,97,0000,29.8,unknown
m50.vh80,bin5v1_F,38.7,1240,70,97,0000,29.8,unknown
m50.vh80,bin6v1_A,37.4,1250,74,97,0000,28.8,unknown
m50.vh80,bin6v1_C,37.4,1250,72,97,0000,29.8,unknown
m50.vh80,bin6v1_E,37.4,1250,70,97,0000,29.8,unknown
m50.vh80,bin9v1_A,37.4,1260,74,97,0000,28.8,unknown
m50.vh80,bin9v1_C,37.4,1260,72,97,0000,29.8,unknown
m50.vh80,bin9v1_E,37.4,1260,70,97,0000,29.8,unknown
m50.vh80,bin10v1_A,37.4,1270,74,97,0000,28.8,unknown
m50.vh80,bin10v1_C,37.4,1270,72,97,0000,29.8,unknown
m50.vh80,bin10v1_E,37.4,1270,70,97,0000,29.8,unknown
m50.vh80,bin11v1_A,37.4,1280,74,97,0000,29.8,unknown
m50.vh80,bin11v1_C,37.4,1280,72,97,0000,29.8,unknown
m50.vh80,bin11v1_E,37.4,1280,70,97,0000,29.8,unknown
m50.vh80,bin12v1_A,37.4,1290,74,97,0000,28.8,unknown
